STFIPS,METHUSE,0
NY,0,11929
MA,0,10186
MD,0,7705
CA,0,6928
NY,1,6331
CA,1,3640
MI,1,3145
MI,0,2869
MA,1,2811
CT,0,2360
IL,0,1994
TX,0,1621
NJ,1,1541
MD,1,1480
KY,0,1387
UT,0,1281
TN,0,1216
CO,0,1183
MO,0,1093
MN,1,933
DE,0,794
MN,0,731
NJ,0,708
NC,0,698
CO,1,678
DC,0,647
PA,0,598
WI,0,557
VA,0,541
CT,1,507
OH,0,504
IA,0,442
ME,1,409
IN,0,399
NH,0,364
AL,0,334
RI,0,331
OH,1,313
PA,1,308
LA,0,303
VT,1,287
RI,1,266
GA,0,259
UT,1,245
OK,0,214
AK,0,204
AR,0,182
IA,1,173
TX,1,168
MO,1,148
VT,0,142
ME,0,134
IL,1,132
AK,1,129
IN,1,126
KY,1,118
PR,0,117
NH,1,98
DE,1,93
MS,0,87
NM,1,82
GA,1,68
HI,0,62
NC,1,58
DC,1,56
AL,1,45
NE,0,43
KS,0,35
WI,1,30
NV,0,28
WY,0,24
PR,1,22
MT,0,22
AR,1,21
SD,0,21
NV,1,14
ND,0,13
ID,0,12
NM,0,9
TN,1,7
NE,1,6
KS,1,5
HI,1,4
LA,1,4
SC,1,3
ND,1,3
WY,1,3
SC,0,2
MS,1,1
